quantile,value,type,location,target,forecast_date,target_end_date
0.010,3650,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.025,3936,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.050,4150,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.100,4444,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.150,4599,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.200,4757,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.250,4930,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.300,5066,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.350,5196,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.400,5293,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.450,5415,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.500,5560,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
NA,5560,point,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.550,5672,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.600,5866,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.650,6019,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.700,6167,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.750,6338,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.800,6510,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.850,6697,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.900,6946,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.950,7327,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.975,7742,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.990,8346,quantile,US,1 wk ahead inc death,2020-06-07,2020-06-13
0.010,2763,quantile,US,2 wk ahead inc death,2020-06-07,2020-06-20
0.025,3075,quantile,US,2 wk ahead inc death,2020-06-07,2020-06-20
0.050,3448,quantile,US,2 wk ahead inc death,2020-06-07,2020-06-20
0.100,3711,quantile,US,2 wk ahead inc death,2020-06-07,2020-06-20
0.150,3987,quantile,US,2 wk ahead inc death,2020-06-07,2020-06-20
0.200,4195,quantile,US,2 wk ahead inc death,2020-06-07,2020-06-20
0.250,4366,quantile,US,2 wk ahead inc death,2020-06-07,2020-06-20
0.300,4500,quantile,US,2 wk ahead inc death,2020-06-07,2020-06-20
0.350,4663,quantile,US,2 wk ahead inc death,2020-06-07,2020-06-20
0.400,4807,quantile,US,2 wk ahead inc death,2020-06-07,2020-06-20
0.450,4956,quantile,US,2 wk ahead inc death,2020-06-07,2020-06-20
0.500,5118,quantile,US,2 wk ahead inc death,2020-06-07,2020-06-20
NA,5118,point,US,2 wk ahead inc death,2020-06-07,2020-06-20
0.550,5245,quantile,US,2 wk ahead inc death,2020-06-07,2020-06-20
0.600,5396,quantile,US,2 wk ahead inc death,2020-06-07,2020-06-20
0.650,5585,quantile,US,2 wk ahead inc death,2020-06-07,2020-06-20
0.700,5799,quantile,US,2 wk ahead inc death,2020-06-07,2020-06-20
0.750,6053,quantile,US,2 wk ahead inc death,2020-06-07,2020-06-20
0.800,6261,quantile,US,2 wk ahead inc death,2020-06-07,2020-06-20
