quantile,value,type,location,target,forecast_date,target_end_date
NA,6172,point_mean,US,1 wk ahead inc death,2020-07-19,NA
0.010,4208,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.025,4389,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.050,4689,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.100,4983,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.150,5119,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.200,5308,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.250,5445,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.300,5577,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.350,5682,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.400,5785,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.450,5948,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.500,6086,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
NA,6086,point,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.550,6227,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.600,6359,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.650,6499,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.700,6672,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.750,6850,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.800,7021,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.850,7212,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.900,7488,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.950,7853,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.975,8318,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
0.990,9081,quantile,US,1 wk ahead inc death,2020-07-19,2020-07-25
NA,6624,point_mean,US,2 wk ahead inc death,2020-07-19,NA
0.010,3708,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.025,4096,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.050,4389,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.100,4826,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.150,5079,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.200,5361,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.250,5560,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.300,5774,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.350,6005,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.400,6214,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.450,6403,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.500,6564,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
NA,6564,point,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.550,6719,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.600,6865,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.650,7055,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.700,7279,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.750,7498,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.800,7738,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.850,8083,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.900,8529,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.950,9278,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.975,9870,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
0.990,10561,quantile,US,2 wk ahead inc death,2020-07-19,2020-08-01
NA,7153,point_mean,US,3 wk ahead inc death,2020-07-19,NA
0.010,2872,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.025,3323,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.050,3785,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.100,4403,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.150,4782,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.200,5180,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.250,5479,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.300,5768,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.350,6080,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.400,6414,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.450,6696,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.500,6913,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
NA,6913,point,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.550,7203,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.600,7525,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.650,7851,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.700,8243,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.750,8683,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.800,9146,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.850,9621,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.900,10267,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.950,11012,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.975,11895,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
0.990,12648,quantile,US,3 wk ahead inc death,2020-07-19,2020-08-08
NA,7660,point_mean,US,4 wk ahead inc death,2020-07-19,NA
0.010,2273,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.025,2629,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.050,3181,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.100,3883,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.150,4346,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.200,4767,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.250,5189,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.300,5583,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.350,6056,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.400,6355,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.450,6846,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.500,7216,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
NA,7216,point,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.550,7606,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.600,8121,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.650,8599,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.700,9189,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.750,9802,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.800,10393,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.850,11014,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.900,12189,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.950,13696,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.975,14854,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
0.990,16180,quantile,US,4 wk ahead inc death,2020-07-19,2020-08-15
NA,3,point_mean,02,1 wk ahead inc death,2020-07-19,NA
0.010,0,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.025,0,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.050,0,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.100,1,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.150,1,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.200,1,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.250,2,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.300,2,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.350,2,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.400,2,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.450,2,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.500,3,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
NA,3,point,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.550,3,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.600,3,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.650,4,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.700,4,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.750,4,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.800,5,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.850,5,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.900,6,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.950,7,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.975,8,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
0.990,10,quantile,02,1 wk ahead inc death,2020-07-19,2020-07-25
NA,4,point_mean,02,2 wk ahead inc death,2020-07-19,NA
0.010,0,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.025,0,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.050,1,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.100,1,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.150,1,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.200,2,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.250,2,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.300,2,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.350,3,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.400,3,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.450,3,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.500,4,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
NA,4,point,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.550,4,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.600,4,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.650,5,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.700,5,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.750,6,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.800,6,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.850,7,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.900,8,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.950,10,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.975,11,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
0.990,13,quantile,02,2 wk ahead inc death,2020-07-19,2020-08-01
NA,6,point_mean,02,3 wk ahead inc death,2020-07-19,NA
0.010,0,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.025,0,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.050,1,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.100,1,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.150,2,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.200,2,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.250,3,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.300,3,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.350,3,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.400,4,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.450,4,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.500,5,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
NA,5,point,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.550,5,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.600,6,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.650,7,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.700,7,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.750,8,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.800,9,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.850,10,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.900,12,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.950,14,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.975,17,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
0.990,21,quantile,02,3 wk ahead inc death,2020-07-19,2020-08-08
NA,8,point_mean,02,4 wk ahead inc death,2020-07-19,NA
0.010,0,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.025,0,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.050,0,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.100,1,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.150,2,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.200,2,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.250,3,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.300,3,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.350,4,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.400,5,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.450,5,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.500,6,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
NA,6,point,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.550,7,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.600,8,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.650,9,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.700,10,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.750,11,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.800,13,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.850,15,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.900,18,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.950,23,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.975,27,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
0.990,32,quantile,02,4 wk ahead inc death,2020-07-19,2020-08-15
NA,195,point_mean,01,1 wk ahead inc death,2020-07-19,NA
